"art" "gebiet" "bhd" "alter"
"BI" "D" 16 21
"FI" "A" 28 59
"FI" "B" 20 38
"BU" "D" 32 64
"FI" "B" 24 44
"EI" "A" 45 104
"EI" "A" 26 47
"FI" "D" 25 50
"BU" "D" 38 53
"FI" "C" 17 28
"EI" "B" 16 30
"BI" "A" 13 23
"FI" "B" 23 58
"BU" "C" 22 40
"EI" "D" 33 62
"FI" "A" 26 72
"TA" "D" 36 40
"BU" "D" 24 47
"BU" "C" 22 27
"BI" "D" 15 26
"BU" "D" 39 86
"FI" "B" 20 42
"EI" "B" 16 40
"FI" "C" 20 39
"FI" "A" 25 62
"BU" "D" 34 59
"FI" "D" 30 65
"BU" "A" 31 47
"EI" "C" 15 21
"FI" "C" 20 41
NA "A" 43 42
"FI" "A" 26 NA
"BU" "D" 30 54
"EI" "D" 16 24
"FI" "B" 29 52
"EI" "B" 27 48
"BU" "C" 29 56
"TA" "D" 37 42
"BI" "B" 13 24
"BU" "C" 34 58
"FI" "A" 29 52
"EI" "C" 22 40
"TA" "A" 24 33
"EI" "B" 33 54
"EI" "C" 34 74
"BU" "D" 29 54
"BU" "A" 37 66
"BU" "D" 28 57
"EI" "D" 14 25
"TA" "C" 26 34
"FI" "C" 25 79
"EI" "A" 33 73
"FI" "A" 24 49
"BI" "D" 12 25
"FI" "B" 25 38
"BU" "D" 33 46
"BU" "A" 31 60
"TA" "D" 40 46
"TA" "D" 26 30
"EI" "B" 15 26
"BU" "B" 22 20
"BU" "D" 33 58
"FI" "D" 22 44
"TA" "C" 14 19
"EI" "B" 22 37
"EI" "A" 25 34
"BU" "D" 29 53
"EI" "C" 26 52
"FI" "D" 24 41
"EI" "C" 23 57
"EI" "B" 32 83
"BU" "B" 26 42
"BI" "A" 19 35
"BI" "C" 15 28
"TA" "A" 35 42
"BU" "B" 27 44
"TA" "A" 40 35
"TA" "D" 29 32
"BI" "B" 13 21
"BU" "C" 21 29
"FI" "A" 33 100
"TA" "C" 14 13
"FI" "C" 21 44
"FI" "B" 20 35
"EI" "B" 18 30
"FI" "A" 25 82
"BU" "A" 21 29
"FI" "C" 23 58
"FI" "A" 20 27
"FI" "A" NA 49
"EI" "B" 23 48
"BU" "D" 30 55
"FI" "D" 29 84
"FI" "C" 25 71
"BU" "B" 25 49
"EI" "C" 23 42
"BU" "C" 25 50
"BU" "C" 26 41
"BU" "B" 26 48
"EI" "D" 27 70
"FI" "C" 22 51
"FI" "B" 23 55
"EI" "B" 32 49
"BU" "A" 28 47
"BU" "C" 32 46
"EI" "C" 30 61
"EI" "D" 36 73
"BU" "A" 27 41
"BU" "D" 30 57
"EI" "B" 33 65
"FI" "C" 25 72
"FI" "D" 25 53
"BU" "A" 29 47
"EI" "B" 18 28
"EI" "B" 22 44
"FI" "B" 22 39
"BU" "A" 25 30
"BU" "A" 22 39
"BU" "C" 34 47
"EI" "A" 19 41
"BU" "D" 28 NA
"FI" "A" 16 34
"BU" "A" 19 29
"BU" "D" 38 76
"FI" "D" 29 70
"EI" "C" 25 49
"FI" "A" 18 34
"EI" "B" 21 47
"FI" "B" 18 42
"TA" "A" 29 51
"FI" "D" 27 66
"FI" "B" 24 72
"FI" "D" 25 56
"FI" "C" 24 40
NA "C" 28 42
"FI" "C" 15 26
"EI" "B" 34 61
"BU" "C" 26 37
"BU" "A" 31 59
"FI" "B" 20 39
"BU" "B" 37 69
"BU" "A" 32 70
"BU" "D" 27 59
"FI" "B" 22 52
"FI" "B" 19 34
"EI" "A" 26 41
"BU" "A" 28 49
"BU" "A" 18 29
"FI" "A" 20 34
"FI" "D" 23 47
"EI" "A" 22 NA
"FI" "C" 23 58
"BU" "A" 26 39
"FI" "C" 29 54
"BU" "A" NA 52
"BI" "B" 14 30
"FI" "B" 20 40
"BU" "C" 32 39
"BI" "B" 12 14
"BU" "D" 32 48
"BU" "C" 29 57
"FI" "D" 25 50
"BU" "D" 36 67
"BU" "C" 23 32
"FI" "C" 23 46
"BU" "D" 28 50
"BU" "A" 35 76
"EI" "A" 17 43
"BU" "D" 33 47
"BU" "A" 28 53
"BI" "D" 13 24
"FI" "A" 24 46
